TFname,MMP9,RUNX2,SNAI1,TGFB1,LRP5
BATF,1,0,0,0,0
CREBBP,0,0,0,1,0
CUX1,0,0,0,1,0
ELK4,0,0,0,0,1
ESR1,0,0,1,0,0
FOXM1,0,0,0,1,0
GTF3C2,0,0,0,1,0
HNF4A,0,0,1,0,0
HNF4G,0,0,1,0,0
IRF3,0,0,0,1,0
IRF4,0,0,0,1,0
KDM1A,0,0,0,1,0
MEF2A,0,0,0,1,0
MYB,0,0,1,0,0
NCOR1,0,0,0,1,0
NFATC1,0,0,0,1,0
NFYA,0,0,1,0,0
NFYB,0,0,1,0,0
NR3C1,0,0,0,1,0
SIRT6,0,0,0,1,0
SMARCC1,0,0,0,0,1
TFAP2A,0,0,1,0,0
TFAP2C,0,0,1,0,0
ZBTB33,0,0,0,1,0
ATF3,0,0,1,1,0
CEBPB,0,0,1,0,1
CHD4,0,0,1,0,1
CTBP2,1,0,0,1,0
CTCFL,0,0,1,1,0
E2F1,0,0,1,0,1
E2F4,0,0,1,1,0
FOXP2,0,0,1,1,0
GATA1,0,0,1,1,0
GATA2,0,0,0,1,1
GATA3,0,1,0,1,0
GTF2B,0,1,1,0,0
IKZF1,1,0,0,0,1
JUN,0,0,1,1,0
KAT2A,0,1,0,1,0
KAT2B,0,0,0,1,1
KDM5B,0,0,0,1,1
MAFF,1,0,0,0,1
MBD4,0,0,1,0,1
MYOD1,0,0,1,0,1
PBX3,0,0,1,1,0
POU2F2,0,0,1,1,0
RELA,1,0,0,1,0
RNF2,0,0,1,1,0
RXRA,0,0,0,1,1
SETDB1,0,0,1,1,0
SIX5,0,0,0,1,1
SMARCB1,0,0,1,0,1
SP4,0,0,1,1,0
SRF,0,0,1,1,0
TAF7,0,1,1,0,0
TRIM28,0,0,1,1,0
ARID3A,0,0,1,1,1
ATF2,1,0,1,1,0
BCL3,0,0,1,1,1
BCLAF1,1,0,1,1,0
BRCA1,0,0,1,1,1
CBX3,0,0,1,1,1
CCNT2,0,0,1,1,1
CEBPD,0,0,1,1,1
CHD7,0,0,1,1,1
CREB1,0,0,1,1,1
E2F6,0,0,1,1,1
EBF1,1,0,0,1,1
EGR1,0,0,1,1,1
ELF1,0,0,1,1,1
ELK1,0,0,1,1,1
ETS1,0,0,1,1,1
FOSL2,0,1,1,1,0
FOXA1,0,1,1,0,1
FOXA2,0,0,1,1,1
GABPA,0,0,1,1,1
HMGN3,0,0,1,1,1
IRF1,0,0,1,1,1
MYBL2,0,0,1,1,1
MYOG,0,1,1,0,1
NR2F2,0,0,1,1,1
NRF1,1,0,1,1,0
PAX5,0,0,1,1,1
PHF8,0,0,1,1,1
PML,0,0,1,1,1
RFX5,0,0,1,1,1
SP1,0,0,1,1,1
SPI1,1,0,1,1,0
STAT3,0,1,0,1,1
STAT5A,1,0,0,1,1
TAL1,0,0,1,1,1
TBL1XR1,0,0,1,1,1
TCF3,0,0,1,1,1
TCF7L2,0,0,1,1,1
TEAD4,0,0,1,1,1
USF1,0,1,1,1,0
USF2,0,0,1,1,1
WRNIP1,0,0,1,1,1
YY1,0,0,1,1,1
ZBTB7A,0,0,1,1,1
ZEB1,0,0,1,1,1
ZNF263,1,0,0,1,1
BACH1,1,0,1,1,1
FOS,1,1,0,1,1
GTF2F1,0,1,1,1,1
HCFC1,0,1,1,1,1
KDM4A,1,0,1,1,1
KDM5A,1,1,0,1,1
MAFK,1,0,1,1,1
MTA3,1,0,1,1,1
MXI1,0,1,1,1,1
NELFE,0,1,1,1,1
RAD21,0,1,1,1,1
SAP30,1,0,1,1,1
SMC3,0,1,1,1,1
STAT1,1,0,1,1,1
SUZ12,1,0,1,1,1
TAF1,0,1,1,1,1
TBP,0,1,1,1,1
TCF12,0,1,1,1,1
UBTF,0,1,1,1,1
ZC3H11A,0,1,1,1,1
ZKSCAN1,1,0,1,1,1
ZMIZ1,0,1,1,1,1
ZNF143,1,0,1,1,1
BHLHE40,1,1,1,1,1
CHD1,1,1,1,1,1
CHD2,1,1,1,1,1
CTCF,1,1,1,1,1
EP300,1,1,1,1,1
EZH2,1,1,1,1,1
H2AFZ,1,1,1,1,1
JUND,1,1,1,1,1
MAX,1,1,1,1,1
MAZ,1,1,1,1,1
MYC,1,1,1,1,1
NFIC,1,1,1,1,1
POLR2A,1,1,1,1,1
RBBP5,1,1,1,1,1
RCOR1,1,1,1,1,1
REST,1,1,1,1,1
RUNX3,1,1,1,1,1
SIN3A,1,1,1,1,1
ZNF384,1,1,1,1,1
