ID	Geneid	hgnc_symbol	entrezgene_id	biotype
A1BG (1)	ENSG00000121410	A1BG	1	protein_coding
NAT2 (10)	ENSG00000156006	NAT2	10	protein_coding
ADA (100)	ENSG00000196839	ADA	100	protein_coding
CDH2 (1000)	ENSG00000170558	CDH2	1000	protein_coding
AKT3 (10000)	ENSG00000117020	AKT3	10000	protein_coding
MED6 (10001)	ENSG00000133997	MED6	10001	protein_coding
NAALAD2 (10003)	ENSG00000077616	NAALAD2	10003	protein_coding
NAALADL1 (10004)	ENSG00000168060	NAALADL1	10004	protein_coding
SIGLEC14 (100049587)	ENSG00000254415	SIGLEC14	100049587	protein_coding
ACOT8 (10005)	ENSG00000101473	ACOT8	10005	protein_coding
ABI1 (10006)	ENSG00000136754	ABI1	10006	protein_coding
GNPDA1 (10007)	ENSG00000113552	GNPDA1	10007	protein_coding
KCNE3 (10008)	ENSG00000175538	KCNE3	10008	protein_coding
ZBTB33 (10009)	ENSG00000177485	ZBTB33	10009	protein_coding
CDH3 (1001)	ENSG00000062038	CDH3	1001	protein_coding
TANK (10010)	ENSG00000136560	TANK	10010	protein_coding
POM121C (100101267)	ENSG00000272391	POM121C	100101267	protein_coding
ZSCAN30 (100101467)	ENSG00000186814	ZSCAN30	100101467	protein_coding
SRA1 (10011)	ENSG00000213523	SRA1	10011	protein_coding
TMEM170B (100113407)	ENSG00000205269	TMEM170B	100113407	protein_coding
ZGLP1 (100125288)	ENSG00000220201	ZGLP1	100125288	protein_coding
MINAR2 (100127206)	ENSG00000186367	MINAR2	100127206	protein_coding
KIAA1024L (100127206)	ENSG00000186367	MINAR2	100127206	protein_coding
C8orf88 (100127983)	ENSG00000253250	C8orf88	100127983	protein_coding
FAM229A (100128071)	ENSG00000225828	FAM229A	100128071	protein_coding
TRAPPC3L (100128327)	ENSG00000173626	TRAPPC3L	100128327	protein_coding
TEKTIP1 (100128569)	ENSG00000183397	C19orf71	100128569	protein_coding
C19orf71 (100128569)	ENSG00000183397	C19orf71	100128569	protein_coding
OST4 (100128731)	ENSG00000228474	OST4	100128731	protein_coding
ZBTB42 (100128927)	ENSG00000179627	ZBTB42	100128927	protein_coding
KHDC1L (100129128)	ENSG00000256980	KHDC1L	100129128	protein_coding
C1orf68 (100129271)	ENSG00000198854	C1orf68	100129271	protein_coding
C9orf92 (100129385)	ENSG00000205549	C9orf92	100129385	lncRNA
MKRN2OS (100129480)	ENSG00000225526	MKRN2OS	100129480	protein_coding
ZNF730 (100129543)	ENSG00000183850	ZNF730	100129543	protein_coding
FAM47E (100129583)	ENSG00000189157	FAM47E	100129583	protein_coding
TCF24 (100129654)	ENSG00000261787	TCF24	100129654	protein_coding
IZUMO3 (100129669)	ENSG00000205442	IZUMO3	100129669	protein_coding
CCDC152 (100129792)	ENSG00000198865	CCDC152	100129792	protein_coding
ZNF737 (100129842)	ENSG00000237440	ZNF737	100129842	protein_coding
HDAC6 (10013)	ENSG00000094631	HDAC6	10013	protein_coding
CCDC166 (100130274)	ENSG00000255181	CCDC166	100130274	protein_coding
C17orf107 (100130311)	ENSG00000205710	C17orf107	100130311	protein_coding
TMEM262 (100130348)	ENSG00000187066	TMEM262	100130348	protein_coding
TMEM221 (100130519)	ENSG00000188051	TMEM221	100130519	protein_coding
PRR32 (100130613)	ENSG00000183631	PRR32	100130613	protein_coding
LRRC70 (100130733)	ENSG00000186105	LRRC70	100130733	protein_coding
SMIM6 (100130933)	ENSG00000259120	SMIM6	100130933	protein_coding
SYCE1L (100130958)	ENSG00000205078	SYCE1L	100130958	protein_coding
SPATA48 (100130988)	ENSG00000164500	SPATA48	100130988	protein_coding
BSPH1 (100131137)	ENSG00000188334	BSPH1	100131137	protein_coding
TSTD1 (100131187)	ENSG00000215845	TSTD1	100131187	protein_coding
NEMP2 (100131211)	ENSG00000189362	NEMP2	100131211	protein_coding
C11orf91 (100131378)	ENSG00000205177	C11orf91	100131378	protein_coding
SP9 (100131390)	ENSG00000217236	SP9	100131390	protein_coding
CD300LD (100131439)	ENSG00000204345	CD300LD	100131439	protein_coding
ARMCX4 (100131755)	ENSG00000196440	ARMCX4	100131755	protein_coding
PET100 (100131801)	ENSG00000229833	PET100	100131801	protein_coding
INSYN2B (100131897)	ENSG00000204767	INSYN2B	100131897	protein_coding
KRTAP25-1 (100131902)	ENSG00000232263	KRTAP25-1	100131902	protein_coding
ZNF705G (100131980)	ENSG00000215372	ZNF705G	100131980	protein_coding
KRTAP4-9 (100132386)	ENSG00000212722	KRTAP4-9	100132386	protein_coding
ZNF705B (100132396)	ENSG00000215356	ZNF705B	100132396	protein_coding
NBPF10 (100132406)	ENSG00000271425	NBPF10	100132406	protein_coding
CLDN24 (100132463)	ENSG00000185758	CLDN24	100132463	protein_coding
KRTAP4-7 (100132476)	ENSG00000240871	KRTAP4-7	100132476	protein_coding
SHISAL2B (100132916)	ENSG00000145642	SHISAL2B	100132916	protein_coding
SMIM9 (100132963)	ENSG00000203870	SMIM9	100132963	protein_coding
TEN1 (100134934)	ENSG00000257949	TEN1	100134934	protein_coding
JMJD7 (100137047)	ENSG00000243789	JMJD7	100137047	protein_coding
PLA2G4B (100137049)	ENSG00000243708	PLA2G4B	100137049	protein_coding
HDAC5 (10014)	ENSG00000108840	HDAC5	10014	protein_coding
C17orf99 (100141515)	ENSG00000187997	C17orf99	100141515	protein_coding
KLLN (100144748)	ENSG00000227268	KLLN	100144748	protein_coding
PDCD6IP (10015)	ENSG00000170248	PDCD6IP	10015	protein_coding
PDCD6 (10016)	ENSG00000249915	PDCD6	10016	protein_coding
PATE3 (100169851)	ENSG00000236027	PATE3	100169851	protein_coding
BCL2L10 (10017)	ENSG00000137875	BCL2L10	10017	protein_coding
SRRM5 (100170229)	ENSG00000226763	SRRM5	100170229	protein_coding
ERICH4 (100170765)	ENSG00000204978	ERICH4	100170765	protein_coding
EPOP (100170841)	ENSG00000273604	EPOP	100170841	protein_coding
BCL2L11 (10018)	ENSG00000153094	BCL2L11	10018	protein_coding
TOMM6 (100188893)	ENSG00000214736	TOMM6	100188893	protein_coding
SH2B3 (10019)	ENSG00000111252	SH2B3	10019	protein_coding
C5orf52 (100190949)	ENSG00000187658	C5orf52	100190949	protein_coding
C2CD4D (100191040)	ENSG00000225556	C2CD4D	100191040	protein_coding
CDH4 (1002)	ENSG00000179242	CDH4	1002	protein_coding
GNE (10020)	ENSG00000159921	GNE	10020	protein_coding
HCN4 (10021)	ENSG00000138622	HCN4	10021	protein_coding
INSL5 (10022)	ENSG00000172410	INSL5	10022	protein_coding
FRAT1 (10023)	ENSG00000165879	FRAT1	10023	protein_coding
TROAP (10024)	ENSG00000135451	TROAP	10024	protein_coding
MED16 (10025)	ENSG00000175221	MED16	10025	protein_coding
PIGK (10026)	ENSG00000142892	PIGK	10026	protein_coding
ARHGEF33 (100271715)	ENSG00000214694	ARHGEF33	100271715	protein_coding
ERVV-2 (100271846)	ENSG00000268964	ERVV-2	100271846	protein_coding
MEF2B (100271849)	ENSG00000213999	MEF2B	100271849	protein_coding
RASA4B (100271927)	ENSG00000170667	RASA4B	100271927	protein_coding
CMC4 (100272147)	ENSG00000182712	CMC4	100272147	protein_coding
USP17L10 (100287144)	ENSG00000231396	USP17L10	100287144	protein_coding
ZNF729 (100287226)	ENSG00000196350	ZNF729	100287226	protein_coding
USP17L13 (100287238)	ENSG00000232399	USP17L13	100287238	protein_coding
MANSC4 (100287284)	ENSG00000205693	MANSC4	100287284	protein_coding
SMKR1 (100287482)	ENSG00000240204	SMKR1	100287482	protein_coding
ANKRD66 (100287718)	ENSG00000230062	ANKRD66	100287718	protein_coding
TTC34 (100287898)	ENSG00000215912	TTC34	100287898	protein_coding
TIMM23 (100287932)	ENSG00000265354	TIMM23	100287932	protein_coding
KRTAP22-2 (100288287)	ENSG00000206106	KRTAP22-2	100288287	protein_coding
